event_id,investigation_type,accident_number,event_date,location,country,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,is_destroyed
20001214X42095,Accident,SEA83LA036,1983-01-01,"NEWPORT, OR",United States,ONP,NEWPORT MUNICIPAL,Non-Fatal,Substantial,,Cessna,182p,No,1.0,reciprocating,personal,0.0,0.0,1.0,3.0,vmc,approach,False
20001214X42067,Accident,MKC83LA056,1983-01-01,"WOODBINE, IA",United States,3YR,MUNICIPAL,Non-Fatal,Substantial,,Cessna,182rg,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,landing,False
20001214X42063,Accident,MKC83LA050,1983-01-01,"MARYVILLE, MO",United States,78Y,RANKIN,Non-Fatal,Substantial,,Cessna,182p,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,takeoff,False
20001214X42018,Accident,LAX83FUG11,1983-01-01,"UPLAND, CA",United States,CCB,CABLE,Non-Fatal,Substantial,,Piper,pa-28r-200,No,1.0,reciprocating,personal,0.0,0.0,2.0,0.0,vmc,approach,False
20001214X41951,Accident,CHI83LA074,1983-01-01,"SPRINGBROOK, WI",United States,,SPRINGBROOK,Non-Fatal,Substantial,,Cessna,140,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,landing,False
20001214X42064,Accident,MKC83LA051,1983-01-02,"INDIANOLA, IA",United States,,,Non-Fatal,,,Balloon Works,firefly 7b,No,0.0,unknown,personal,0.0,1.0,0.0,1.0,vmc,landing,False
20001214X42010,Accident,LAX83FA064,1983-01-02,"MONTEREY, CA",United States,,,Non-Fatal,Destroyed,,Cessna,340a,No,2.0,reciprocating,personal,0.0,0.0,4.0,0.0,vmc,takeoff,True
20001214X41937,Accident,CHI83FA069,1983-01-02,"GENOA CITY, WI",United States,64C,VINCENT,Fatal(2),Destroyed,,North American,t-6g,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,vmc,maneuvering,True
20001214X41919,Accident,ATL83FA081,1983-01-02,"BEAUFORT, SC",United States,,,Fatal(3),Destroyed,,Piper,pa-24-250,No,1.0,reciprocating,personal,3.0,0.0,0.0,0.0,imc,cruise,True
20001214X42051,Accident,MIA83LA056,1983-01-02,"NEAR VERO BEACH, FL",United States,,,Non-Fatal,Substantial,,Piper,pa-32-301r,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,maneuvering,False
